id,user_id,course_id,progress,assignment_date,quiz_score,engagement_score,assignment_grade
1,1,12,100,2024-10-09 08:41:27.914000,68.0,53.0,88.0
2,1,17,100,2024-10-09 08:41:27.914000,86.0,71.0,72.0
3,1,13,100,2024-10-09 08:41:27.914000,72.0,76.0,64.0
4,1,166,100,2024-10-09 08:41:27.914000,93.0,96.0,78.0
5,1,20,100,2024-10-09 08:41:27.914000,66.0,89.0,53.0
6,1,100,100,2024-10-09 08:41:27.914000,87.0,99.0,54.0
7,1,182,100,2024-10-09 08:41:27.914000,73.0,65.0,51.0
8,1,142,100,2024-10-09 08:41:27.914000,62.0,70.0,86.0
9,1,78,100,2024-10-09 08:41:27.914000,97.0,61.0,77.0
10,1,123,100,2024-10-09 08:41:27.914000,94.0,71.0,71.0
11,2,166,100,2024-10-09 08:41:27.914000,90.0,100.0,91.0
12,2,20,100,2024-10-09 08:41:27.914000,55.0,61.0,100.0
13,2,13,100,2024-10-09 08:41:27.914000,85.0,63.0,99.0
14,2,12,100,2024-10-09 08:41:27.914000,60.0,99.0,54.0
15,2,17,100,2024-10-09 08:41:27.914000,89.0,79.0,75.0
16,2,29,100,2024-10-09 08:41:27.914000,75.0,75.0,68.0
17,2,177,100,2024-10-09 08:41:27.914000,84.0,70.0,63.0
18,2,111,100,2024-10-09 08:41:27.914000,62.0,88.0,81.0
19,2,143,100,2024-10-09 08:41:27.914000,82.0,79.0,58.0
20,2,170,100,2024-10-09 08:41:27.914000,80.0,100.0,93.0
21,2,64,100,2024-10-09 08:41:27.914000,90.0,87.0,94.0
22,3,12,100,2024-10-09 08:41:27.914000,96.0,76.0,59.0
23,3,166,100,2024-10-09 08:41:27.914000,71.0,80.0,88.0
24,3,13,100,2024-10-09 08:41:27.914000,58.0,59.0,56.0
25,3,17,100,2024-10-09 08:41:27.914000,61.0,50.0,71.0
26,3,81,100,2024-10-09 08:41:27.914000,93.0,99.0,56.0
27,3,15,100,2024-10-09 08:41:27.914000,62.0,59.0,88.0
28,3,48,100,2024-10-09 08:41:27.914000,95.0,96.0,58.0
29,3,140,100,2024-10-09 08:41:27.914000,66.0,71.0,50.0
30,3,116,100,2024-10-09 08:41:27.914000,60.0,69.0,60.0
31,3,183,100,2024-10-09 08:41:27.914000,67.0,69.0,71.0
32,3,31,100,2024-10-09 08:41:27.914000,84.0,92.0,76.0
33,3,165,100,2024-10-09 08:41:27.914000,71.0,89.0,100.0
34,3,148,100,2024-10-09 08:41:27.914000,88.0,89.0,56.0
35,4,12,100,2024-10-09 08:41:27.914000,54.0,84.0,50.0
36,4,20,100,2024-10-09 08:41:27.914000,69.0,77.0,56.0
37,4,17,100,2024-10-09 08:41:27.914000,54.0,51.0,67.0
38,4,166,100,2024-10-09 08:41:27.914000,100.0,81.0,94.0
39,4,13,100,2024-10-09 08:41:27.914000,91.0,57.0,64.0
40,4,33,100,2024-10-09 08:41:27.914000,92.0,84.0,97.0
41,4,186,100,2024-10-09 08:41:27.914000,75.0,82.0,85.0
42,4,105,100,2024-10-09 08:41:27.914000,51.0,58.0,84.0
43,4,24,100,2024-10-09 08:41:27.914000,89.0,96.0,59.0
44,4,42,100,2024-10-09 08:41:27.914000,99.0,85.0,71.0
45,4,78,100,2024-10-09 08:41:27.914000,98.0,88.0,81.0
46,4,168,100,2024-10-09 08:41:27.914000,85.0,99.0,64.0
47,4,160,100,2024-10-09 08:41:27.914000,66.0,96.0,63.0
48,4,169,100,2024-10-09 08:41:27.914000,70.0,76.0,68.0
49,4,197,100,2024-10-09 08:41:27.914000,81.0,83.0,56.0
