id,rating,user_id,assignment_id
1,88,1,1
2,85,1,2
3,81,1,3
4,81,1,4
5,82,1,5
6,80,1,6
7,66,1,7
8,82,1,8
9,77,1,9
10,94,1,10
11,74,1,11
12,64,1,12
13,66,2,13
14,71,2,14
15,70,2,15
16,86,2,16
17,92,2,17
18,80,2,18
19,73,2,19
20,89,2,20
21,80,2,21
22,81,2,22
23,77,3,23
24,89,3,24
25,95,3,25
26,90,3,26
27,85,3,27
28,97,3,28
29,86,3,29
30,83,3,30
31,83,3,31
32,85,3,32
33,74,3,33
34,84,3,34
35,81,3,35
36,82,3,36
37,73,4,37
38,91,4,38
39,86,4,39
40,86,4,40
41,93,4,41
42,68,4,42
43,83,4,43
44,71,4,44
45,88,4,45
46,74,4,46
47,80,4,47
48,88,4,48
49,81,5,49
50,89,5,50
51,87,5,51
52,74,5,52
53,71,5,53
54,81,5,54
55,86,5,55
56,74,5,56
57,96,5,57
58,68,5,58
59,78,5,59
60,84,5,60
61,74,6,61
62,73,6,62
63,87,6,63
64,80,6,64
65,84,6,65
66,71,6,66
67,75,6,67
68,84,6,68
69,80,6,69
70,82,6,70
71,81,6,71
72,84,6,72
73,82,7,73
74,79,7,74
75,77,7,75
76,67,7,76
77,87,7,77
78,83,7,78
79,80,7,79
80,84,7,80
81,85,7,81
82,74,7,82
83,70,7,83
84,78,8,84
85,79,8,85
86,74,8,86
87,92,8,87
88,90,8,88
89,68,8,89
90,88,8,90
91,90,8,91
92,92,8,92
93,85,8,93
94,81,8,94
95,76,8,95
96,91,8,96
97,86,8,97
98,77,8,98
99,83,9,99
100,84,9,100
101,75,9,101
102,92,9,102
103,71,9,103
104,90,9,104
105,87,9,105
106,78,9,106
107,82,9,107
108,78,9,108
109,90,9,109
110,87,9,110
111,95,9,111
112,81,9,112
113,82,10,113
114,72,10,114
115,86,10,115
116,84,10,116
117,87,10,117
118,90,10,118
119,84,10,119
120,82,10,120
121,77,10,121
122,72,10,122
123,77,11,123
124,90,11,124
125,78,11,125
126,84,11,126
127,75,11,127
128,84,11,128
129,78,11,129
130,80,11,130
131,85,11,131
132,88,11,132
133,87,11,133
134,86,11,134
135,82,12,135
136,85,12,136
137,80,12,137
138,78,12,138
139,71,12,139
140,78,12,140
141,91,12,141
142,86,12,142
143,70,12,143
144,79,12,144
145,73,12,145
146,77,12,146
147,83,12,147
148,82,12,148
149,85,12,149
150,80,13,150
151,88,13,151
